Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
29-01-2025,AQS,360050110,1,30.5,ppb,28,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
30-01-2025,AQS,360050110,1,25.6,ppb,24,IS 52,22,92,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
31-01-2025,AQS,360050110,1,44.8,ppb,42,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
01-02-2025,AQS,360050110,1,29.6,ppb,27,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
02-02-2025,AQS,360050110,1,40.9,ppb,38,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
03-02-2025,AQS,360050110,1,42.9,ppb,40,IS 52,23,96,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
04-02-2025,AQS,360050110,1,24.6,ppb,23,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
05-02-2025,AQS,360050110,1,36.9,ppb,34,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
06-02-2025,AQS,360050110,1,43.9,ppb,41,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
07-02-2025,AQS,360050110,1,23.6,ppb,22,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
